,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
Afghanistan,AFG,7.9,3.6,6.0,10.0,7.0,5.0,8.4,6.5,7.3,5.5,7.2,6.7,8.0
Albania,ALB,6.0,#N/A,0.0,0.0,0.0,3.0,1.5,6.4,5.7,3.0,1.5,2.4,2.0
Algeria,DZA,7.8,#N/A,0.0,0.0,0.0,3.0,3.0,5.0,4.9,3.6,2.2,2.3,1.0
Angola,AGO,7.5,0.0,4.0,0.0,0.0,2.7,5.2,3.2,6.3,2.5,2.8,2.7,3.0
Antigua and Barbuda,ATG,7.2,8.3,0.0,0.0,0.0,4.3,2.0,3.7,5.2,5.0,2.9,2.9,4.0
Argentina,ARG,4.8,#N/A,0.0,0.0,0.0,3.3,1.8,3.9,4.5,2.7,1.3,1.9,1.0
Armenia,ARM,5.8,#N/A,0.0,0.0,0.0,4.0,2.5,4.4,6.5,3.3,1.7,2.5,2.0
Australia,AUS,3.8,#N/A,0.0,0.0,0.0,3.7,2.2,4.9,2.3,2.5,1.2,1.9,1.0
Austria,AUT,4.9,#N/A,0.0,0.0,0.0,3.3,2.6,2.3,2.1,2.7,1.5,1.5,1.0
Azerbaijan,AZE,6.6,#N/A,0.0,0.0,0.0,3.7,4.1,4.9,6.1,3.4,2.1,2.7,2.0
Bahamas,BHS,7.3,9.2,0.0,0.0,0.0,7.0,3.4,3.5,3.8,5.9,3.3,3.4,4.0
Bahrain,BHR,6.5,#N/A,0.0,0.0,0.0,4.0,1.1,0.9,4.5,3.5,1.5,1.5,1.0
Bangladesh,BGD,7.6,2.3,0.0,0.1,0.0,2.0,5.8,8.2,5.0,3.0,2.6,2.9,3.0
Barbados,BRB,7.3,2.5,0.0,0.0,0.0,5.7,1.5,3.8,3.4,3.9,1.9,2.1,2.0
Belarus,BLR,6.2,#N/A,0.0,0.0,0.0,4.0,1.2,2.3,4.2,3.4,1.5,1.7,1.0
